dir,key,clue
prods,39,40___30_24_72_36_3______24_10__15_____4____30___2_10_4__18___
size,40,6
shape,40,abcddddddfeffffdfddddedfffffedacacff
letters,40,413526645132236415324651152364561243
prods,40,12___5_6_12_12_12_30_______72__5_3_10_8__120_______12_30__2___
size,41,6
shape,41,acddddddeffeeffacffacddddddffefffacf
letters,41,652413163524534261241356426135315642
prods,41,30__24_20_2_12_10_18________12____4__3_15_60_12_2_30_______24__
size,42,6
shape,42,acacddddddffefffddfdddffdeffddffacff
letters,42,164352542613231546413265356421625134
prods,42,6__12__5_6_40_12_2_30_______24_30__10_18_8___18____6_4___5___
size,43,6
shape,43,acabcddacacffdabcddedacfeffdddfacfff
letters,43,416235531642254163365421623514142356
prods,43,4__36___10_10_3__24____60_24___3_18__15_8______15_5_24__8____
size,44,6
shape,44,dabcddedddffffffddacddefddeffdfffacf
letters,44,432165516423364512251346645231123654
prods,44,60_6___12_15__6_24_20_______12_12_10__15_6___6_8____4____30__
size,45,6
shape,45,abcacddacddffddffddefacfefabcdfacacf
letters,45,245361614253123546436125561432352614
prods,45,40___18__3_6_4__10_20___36_18___30_60___2_____12___8__10__6__
size,46,6
shape,46,dabcddedddefefeffdedfacfefabcdfacacf
letters,46,164325451632325416632541246153513264
prods,46,720_72___6_10__10_10_24________6__12__20_____30___12__3__12__
size,47,6
shape,47,dddacdefeddffdffeddfaceffabcfdabcacf
letters,47,124365235146346251462513513624651432
prods,47,6_6_120_18__30____2_40___24____3_20__10_____18____8_30___12__
size,48,6
shape,48,abcacddabcdffdacfddedddfefffedfabcff
letters,48,426531213456134265651342542613365124
prods,48,48___15__6_2_12___30___60_8___10_90__2_18_8_______12__30____
size,49,6
shape,49,acabcddabcdefdacfededacfeffdddfacfff
letters,49,146325512436251643364512435261623154
prods,49,4__36___180_10_8___12___90_6____72__20_5______2_30_4__6____
size,50,6
shape,50,ddabcdffdacfacfddddddeffeffeddfacfff
letters,50,546312432561163425251643314256625134
prods,50,20_12_18___2___6_30___6___48_8_15_36_5_4________15_24__10____
size,51,6
shape,51,abcacddabbcffdacdddeddffefffddfabcff
letters,51,354162432516241653625431163245516324
prods,51,60___6__12_8_30______48_6__15_3_30__15_8_______8_20__18____
size,52,6
shape,52,abbcdddacdeffddffddefacfefacddfabcff
letters,52,214356136425451632365241642513523164
prods,52,24____30_30_4_18__24____120_5___2_90___8_____10__6_12__6____
size,53,6
shape,53,acddddddffefefddfdedffdfefacedfabcff
letters,53,463152625413246531152364314625531246
prods,53,24__15_4_15_6_180_8_______12_15__4__5___48____24___30__6____
size,54,6
shape,54,dacdddeddffffffacdacdddfddfffdffabcf
letters,54,123564356421264315541632432156615243
prods,54,6_6__20_12_4__30_24_______3__10_20__2_6_15__24_3____18___40___
size,55,6
shape,55,dacacdfdabcededaceeffddfeddffdfffacf
letters,55,345162516234134526253641621453462315
prods,55,15_20__6__48__15_36____48__12_10______24_20___12_2___15____3__
size,56,6
shape,56,acacddddddefefeffdedeacfffedddacffff
letters,56,453261146325215634321546634152562413
prods,56,20__6__36_5_36_4_240_18________24__6__20______4_5_6_30_____
size,57,6
shape,57,dacacdedabcfffdacdaceddfddeffdfffacf
letters,57,653241326514162453514362435126241635
prods,57,18_15__8__4__12_30______40_20__6_5___3_12__8_12____30____18__
size,58,6
shape,58,ddacddffddefddffedefacfefabbceacabcf
letters,58,153624214563321456632145465312546231
prods,58,2_5_18__240_12___4_20___72_6____60___2_____90_____20__36___
size,59,6
shape,59,acddddddfffffeabcddedacfffedddacffff
letters,59,135462253146416325362514524631641253
prods,59,3__15_4_24_12_8_60_______36___20_15__8_5______12_15_3_24_____
size,60,6
shape,60,acabcddabbcfeddacdefeddfedeffdfffacf
letters,60,643125315642524316236451162534451263
prods,60,24__6___10_120_120______6_48_3__6____20_15___30____12____12__
size,61,6
shape,61,abbbcddddacfefedddedffefefacfdfacacf
letters,61,246513132645654231513462421356365124
prods,61,240_____15_360_15_24_24______8_90_2__2_______3___24__30__2__
size,62,6
shape,62,acabcddddacfeffdddeddfffeffacdfabbcf
letters,62,312564564123123456631245456312245631
prods,62,3__60___12_240_12_12_2______8_20_30__15_6_______3__2__360____
size,63,6
shape,63,dabcddedddefffeffdaceddfddeffdfffacf
letters,63,142635435261251346624513563124316452
prods,63,8_48___72_5__15_360_6________18_12___5_2__15_6____8____20__
size,64,6
shape,64,dabcddedddffffefddddfdffffdeddacffff
letters,64,524163246351461532315426653214132645
prods,64,40_8___30_3__24_30_15_______6_12_18_5__48_____6__4_20_3_____
size,65,6
shape,65,abbbcddddddffefefddededfffffedacacff
letters,65,624153543216261345356421415632132564
prods,65,240_____18_10_120_3_144_4_______5_12__30__36_______8_3__10___
size,66,6
shape,66,acdacdddeddfffeffdddeddfffeffdacfacf
letters,66,521634643125154362236541465213312456
prods,66,10__720_18__20_6_20__3_12_______2_8_18__10_4_______18_3___20__
size,67,6
shape,67,acabcddddddffefffddeacdfffddedacffff
letters,67,126345345612512436461523634251253164
prods,67,2__72___10_15_72_10_24_3_______18_24__5__60____12_2__4_10_____
size,68,6
shape,68,acddddddeffffefacddfdddfedfffdffabcf
letters,68,326145452361231456165234614523543612
prods,68,6__12_3_24_5_8_90________20__24_30__20_10_6___4____6___18___
size,69,6
shape,69,acabcddddacefefddfdfdefdedffdeffacff
letters,69,314265236154425631651423542316163542
prods,69,3__48___20_8_30_30_5______72_6__30__2___36__24___4____15___
size,70,6
shape,70,ddacddefddeffdeffddefddfffdffdacfacf
letters,70,314625453216146532261453532164625341
prods,70,12_5_24__6_30___18_10____72____6_10___4_30____10___4_12___12__
size,71,6
shape,71,abcacdddacdfefddedfdeffedffacefabbcf
letters,71,125463351246263154614325436512542631
prods,71,10___24__18_36_30_2__40____72_3__40__3_____20___5____144____
size,72,6
shape,72,abbbcddabbcefdacdededdfeeffedefacfff
letters,72,365412123645456231241563534126612354
prods,72,360_____720_4_144______60_12__18__60__4_15_______10___2____
size,73,6
shape,73,acddddddefeffefdeddedeffffffddacacff
letters,73,356214164523243651615432532146421365
prods,73,15__72_10_30_12_2_72________24__2_30__10________24_30_8__3___
size,74,6
shape,74,dabbcdfddacfdffdddeddffffffacdacabcf
letters,74,245136452361134625526413613542361254
prods,74,8_60____6__15_8_18___30___24_2_15__2_18_______20__8_18__10___
size,75,6
shape,75,acddddddfffefedddfdffffdfacaceabbbcf
letters,75,365241614532431625152364243156526413
prods,75,18__20_10_12_10_24_15_______2_18_12__2_____72__12__5___240_____
size,76,6
shape,76,dabcddfdddffdffeddeddfffffedddacffff
letters,76,524163315642431526246351162435653214
prods,76,15_8___24_6__3_5_90___8____10_6__24_36_______8_3_20_30_____
size,77,6
shape,77,abbcddddddfffeffdddfddefedeffdfffacf
letters,77,214365653214361542432651125436546123
prods,77,24____6_20_18_90_3_10_______60_2_20__60_24____8____18____2__
size,78,6
shape,78,dabbcdeddacffffdddacdffeddfaceffabcf
letters,78,263145651423316254142536534612425361
prods,78,36_72____15__5_6_8______10_15_48_4__8____20_6__6_____90___
size,79,6
shape,79,dabbcdfdacdfdfddfdfdffdedfacfefabbcf
letters,79,563421215346126534452163341652634215
prods,79,10_144____6__2_15__12__4__12_5__120__20___30__18__6_____24____
size,80,6
shape,80,acabcddddacfefedddedefffeffdddfacfff
letters,80,261453524631632514416325153246345162
prods,80,12__20___3_360_6_144_18______15_2_20__5________2_24_12__20____
size,81,6
shape,81,acabcddddddffefffddedacffffdddabcfff
letters,81,432516563124346251615342124635251463
prods,81,12__10___24_15_48_18_2_10_______2_6__20_12______24_18_15_10_____
size,82,6
shape,82,dacacdedabcfffdacdacfddfdddffdfffacf
letters,82,615243341652254316123465536124462531
prods,82,36_5__8__6__20_30______12_3__30_2___4_12__20_18_12___4____15__
size,83,6
shape,83,ddabcdefdacfedfdddffdeffddffddffacff
letters,83,612453145362351246436125523614264531
prods,83,72_4_40___6___5_18____15__12_8_30___18____10_12___3_4___20___
size,84,6
shape,84,acabcddddacefefddfdedefdefffdefabcff
letters,84,624351361425152634435162546213213546
prods,84,12__60___20_3_360_2_8______12_18__40__30___36_____4___15____
size,85,6
shape,85,dabcddedacfffedacddfeddfedeffdfffacf
letters,85,356412465231621543143625532164214356
prods,85,72_120___3_2__48_10______24_20__15_10___6_12___3____24____15__
size,86,6
shape,86,dabcddedddefeffffdeddddfefffedfabcff
letters,86,214653361245653412145326426531532164
prods,86,720_24___20_15__30_3_8________12__8_30_15_36_______4__6____
size,87,6
shape,87,abcddddacfefedacfdffdddfddfffdffabcf
letters,87,253461341256526314465132134625612543
prods,87,30___8_30_6_60_4______12_18___8___20_6_6__6_3____15___40___
size,88,6
shape,88,acddddddffffffabcdacdddfddfffdffabcf
letters,88,146523435162263415352641621354514236
prods,88,4__30_5_12_6_8_18_______12___5_15__2_18_20__30_2____24___24___
size,89,6
shape,89,acdacdddfddfffdffdddfacfefacddfabcff
letters,89,416325643512235146352461164253521634
prods,89,4__18_6__10_12_12__5_4____10___6_15_30__24_____8__15_12__12____
size,90,6
shape,90,abcacddacddffddffddefacfefabcdfabbcf
letters,90,514326263154456231621543132465345612
prods,90,20___6__24_8_18__2_15___30_6___3_18___20_____48___10__120____
size,91,6
shape,91,acddddddeffffefacddfdddfedeffdfffacf
letters,91,361245416523652134543612235461124356
prods,91,18__12_10_8_15_24_20________3__8_10__60_24_6___6____6____15__
size,92,6
shape,92,ddabcdffdddfacfffdddabcfffddddacffff
letters,92,342156163245526413651324415632234561
prods,92,3_24_10___30___18_8_4__10_____12_24_5_6______20_30_18_2_6_____
size,93,6
shape,93,dddacdfefddfdfdffdedfacfffabcdabbbcf
letters,93,623514216435461253534621145362352146
prods,93,12_12_18_5__20____8_15__20__4___3__12__12_____90___12_120_____
size,94,6
shape,94,acabcddacacfedabcdffdddfddeffdfffacf
letters,94,614352542163451236136425325641263514
prods,94,6__60___6_20_8__6____15_6___30___90_24_8__6_12____4____5__
size,95,6
shape,95,acdacdddfddfffdefdacfedfdddffdfffacf
letters,95,514236345612462153631425256341123564
prods,95,5__20_6__12_12_24__72_5____2___15_18____8__2_10_18___4____30__
size,96,6
shape,96,acacddddddfefffedfdddffdffeddeacffff
letters,96,412635635421354162126543563214241356
prods,96,4__12__6_10_18_15_20_20_______24__5_12_18___72____6_5__8_____
size,97,6
shape,97,dabcddedddefffeffdddfacfefacddfabcff
letters,97,213564624351362145541236435612156423
prods,97,36_15___120_4__12_8_3________30_20_12__6_____30__2_6__120____
size,98,6
shape,98,ddacddefddfffdffdddeddffffffddabbcff
letters,98,354126123564431652562431246315615243
prods,98,12_10_4__12_24___3_30____72___15_2_10__12_12_______4_15_60_____
size,99,6
shape,99,dddacdfffddfdacffdeddddfffeffdacfacf
letters,99,152643435126614532361254523461246315
prods,99,4_15_10_24__18____5_6__90_4____8__12_18_8_30_______5_8___3__
size,100,6
shape,100,acddddddffffffabcdabcddfdddffdfffacf
letters,100,253614342156421563564231136425615342
prods,100,10__6_6_5_24_12_8_______30___3_120___8_6__6_3_30___10____12__
size,101,6
shape,101,abcacddacddffddfeddfedefedeffdfffacf
letters,101,165243316524241365524136453612632451
prods,101,30___8__12_6_6__15_36___8_24___30_120___6____15____2____20__
size,102,6
shape,102,dacacdedacdfefddfdedffdfffddedacffff
letters,102,243561561342316425152634624153435216
prods,102,180_12__30__2__6_3__8____12_24__20__10___15____20_2__18_12_____
size,103,6
shape,103,abbbcddacacffddddddeffefffddedacffff
letters,103,432165653241214536165324341652526413
prods,103,144_____5_12_15__8____24_20_15_30_24_3________6_24__6_10_____
size,104,6
shape,104,abbbcddacacefddddfdefefdffdedeacffff
letters,104,623541146235451623514362235416362154
prods,104,720_____15_4_24__6____15_4_72_12__10_____48___10__5__18_____
size,105,6
shape,105,abcacdddabcfefdacdfdfddededffefffacf
letters,105,621435543261132654354126465312216543
prods,105,12___12__5_15_12_36______8_30__144__30__3_2__8__30_______20__
size,106,6
shape,106,abcacdddabceffdddfaceffdddfaceffabcf
letters,106,234165165423352614421536643251516342
prods,106,24___6__60_3_30_40______6_30_3__8_____12_30_4__10_____72___
size,107,6
shape,107,abbcddddddfffefedddedeffffffddacacff
letters,107,123546356412231654412365564231645123
prods,107,30____4_12_6_90_6_144_______30_20_20__8________6_3_24__5___
size,108,6
shape,108,dddacdeffddffddefddeffdfefacfdfabbcf
letters,108,634521251643325416162354413265546132
prods,108,36_15_4_10__3____72_4___12_10___24_20____30____6___10__72____
size,109,6
shape,109,acdacdddeddfefeffdedfacfefabcdfacacf
letters,109,362145453216645321531462216534124653
prods,109,18__30_4__30_240_20__6_2_______2__3__24_____90___12__8__30__
size,110,6
shape,110,acabcddabbcfedacddfeddffdeffddffacff
letters,110,632514265341156432413265541623324156
prods,110,18__10___4_8_360______40_24__18_10___3_12___15____10_18___4___
size,111,6
shape,111,acddddddfffeffdaceacfddfdddffdfffacf
letters,111,615432234165146253562314453621321546
prods,111,6__20_4_18_120_2_12_______12_10___30___18_2__12_10_3___6____20__
size,112,6
shape,112,abbbcddddddfefeffdfdeacfdffdddfacfff
letters,112,164325546132425613253461312546631254
prods,112,144_____10_40_8_180_6_3_______3__5__24___18___10_20_24__3____
size,113,6
shape,113,dabbcdedabcfefddddfdefffdefacdffabcf
letters,113,254361513624631452425136162543346215
prods,113,240_360____4__3_36______10_4_15_12__48_____3___20__15___12___
size,114,6
shape,114,acdacdddeddffefffddfacdffacdedabcfff
letters,114,621345514236356421235164463512142653
prods,114,12__24_12__30_15_15__8_6_______4_8__5__30___18__30__6_8_____
size,115,6
shape,115,abbcddddddffffefddddfdffffdeddacffff
letters,115,463512146325354261215436521643632154
prods,115,360____2_10_3_20_120_6_______18_6_10_2__24_____2__20_12_18_____
size,116,6
shape,116,acddddddefeffffdfddddedfeffffdfacacf
letters,116,564231156423425316643152231645312564
prods,116,30__120_8_6_3_4_10________18__12_36_12_3__20_______20__2__30__
size,117,6
shape,117,acacdddabceffdddfddefedfffdffdacfacf
letters,117,643512214653321465435126562341156234
prods,117,24__15__30_6_6_24______36_5_12__30_20____8____12___4_5___6__
size,118,6
shape,118,dddacdefeddffdfefddededfefffedfabcff
letters,118,152463531624463512624351245136316245
prods,118,20_15_6_24__12____90_2___48____2_36__20__60_______30__12____
size,119,6
shape,119,dabbcdfddacedffddeeddeffefffddfabcff
letters,119,546132324516461253253641132465615324
prods,119,15_72____36__12_4_5___48___48_20___15_6________12_20__15____
size,120,6
shape,120,abcacddacddfeddffdfefacedfabcefacacf
letters,120,456213135426321645564132243561612354
prods,120,120___2__18_15_15__24_8___48_4___40____3___12__90_____2__15__
size,121,6
shape,121,dacacdedabcfefdacdfdeddfdffffdfacacf
letters,121,263541356124542316621453134265415632
prods,121,180_18__20__4__20_12______8_3__18__6__8_30__4_____10__5__18__
size,122,6
shape,122,abbbcddacacffddddddeffefffacfdabcacf
letters,122,625341164253413526541632352164236415
prods,122,720_____3_4_24__10____20_3_30_36_12_15________2___20_36___4__
size,123,6
shape,123,acabcddddacffffddddddefffffeddabcfff
letters,123,341625265143634512456231512364123456
prods,123,12__12___15_12_18_20_4______120_3_2_20_5_12________30_24_6_____
size,124,6
shape,124,ddabcdffdddfddeffdfefacfdfacddfabcff
letters,124,243615154236316542521463632154465321
prods,124,2_20_18___30___24_10_12__15_6____6____24___24__2__10_4__90____
size,125,6
shape,125,abcacddabbcefddddfdefffdefacdefabcff
letters,125,123456546213254361431625612534365142
prods,125,6___20__18_10_48______15_4_18_12__72_____40___10__12___30____
size,126,6
shape,126,abbcdddabcfefddacedffddefacffeabcacf
letters,126,345621461253154362632415526134213546
prods,126,360____10_720_4_12______15_8_18___30___4_3___12_____6___20__
size,127,6
shape,127,abbbcdddabcfffddddddffefffddedacffff
letters,127,612435543261425613156342361524234156
prods,127,144_____5_20_8_36______30_18_40_6_3_30_______4_5__24_6_____
size,128,6
shape,128,dacdddeddeffeffeddeddeffffffddacacff
letters,128,412536354261631425546312265143123654
prods,128,720_2__120_18_6__15_4________2_10__24_30________20_12_2__18___
size,129,6
shape,129,abbbcdddabcfffddddddfeffffdeddacffff
letters,129,235416416532621354563241154623342165
prods,129,120_____12_24_2_90______3_36_20_4_5_30_______8__12_15_12_____
size,130,6
shape,130,acabcddabcdffdddeddeffffffacddabbcff
letters,130,413265256314345126164532521643632451
prods,130,4__36___20_6_90___6___48_20_5__12_5________6__20_3_144_____
size,131,6
shape,131,abcddddddeffefffddfdddefdffffdfacacf
letters,131,465312316524124635541263632451253146
prods,131,120___90_2_8_15_2_24________90_15__12_2_8___12_____6__15__4__
size,132,6
shape,132,ddabcdffdaceaceddeddffefefacfdfacacf
letters,132,643125321564415632256341532416164253
prods,132,18_8_6___40___30_30___4___18_12__10_15_______8___18__24__10__
size,133,6
shape,133,abbcdddabcfefdacdedfddffedffddffacff
letters,133,523164462513246351614235351642135426
prods,133,30____6_60_8_60______4_18__15__18__4_12____15___8_12___20___
size,134,6
shape,134,acabcddabcdffdddfddefedfffdffdacfacf
letters,134,324516652431516324165243431652243165
prods,134,6__20___6_30_40___6___18_30_36__12_4____20____3___10_8___6__
size,135,6
shape,135,abcddddddffffefddddfdffeedfaceffabcf
letters,135,325164213456536241461523654312142635
prods,135,30___4_30_24_10_18_18_______10_8_30_24__4_____20__3_____36___
size,136,6
shape,136,dddacdffeddeaceffeddeaceeffddefacfff
letters,136,615243524361361452432516153624246135
prods,136,30_2_120_8__720____12_30__18______8_15__5______6_6___24____
size,137,6
shape,137,abcacddabbcffddacddfeddfedeffdfffacf
letters,137,312654645213453162261345124536536421
prods,137,6___30__12_24_40______30_72_6__10_10___15_12___6____6____8__
size,138,6
shape,138,acacddddddefffeffdaceddfddeffdfffacf
letters,138,635214412653261345124536356421543162
prods,138,18__10__20_12_8_6_144_18________30_2___20_6__15_20____2____6__
size,139,6
shape,139,abcacddacddfeddffdffeddeddfffeffabcf
letters,139,631542563421154263326154412635245316
prods,139,18___20__2_15_18__8_12___10_48___360____6_15__8_4_______15___
size,140,6
shape,140,abcddddddeffefefddedfdefffdffdacfacf
letters,140,625134153462364215216543432651541326
prods,140,60___8_18_8_24_30_72________20_15__3__30_____2___6_20___6__
size,141,6
shape,141,dacdddeddfeffefdeddfdfffedfacdffabcf
letters,141,145326256143413265632451364512521634
prods,141,8_20__3_240_18__15_18_______8__5_90__8_____12__5__8___18___
size,142,6
shape,142,abbbcddddddfeffffdeacddfeddffdfffacf
letters,142,241536615423326154154362432615563241
prods,142,120_____18_360_2_30_4_10_______8__20__18_6___18_6___5____8__
size,143,6
shape,143,abbcddddacffefdacdfdeddfdefffdffabcf
letters,143,526413253641364152145236631524412365
prods,143,240____4_3_6_30_18______20_5__12__12__10_6__24_____20___36___
size,144,6
shape,144,abcacddddddfffffeddacdefeddffdfffacf
letters,144,415623364251541362236415652134123546
prods,144,20___12__3_15_24_4_6_90_______10_12_18__4____10_6___24____20__
size,145,6
shape,145,ddabcdfedacedfeddfedfffdefabcefacacf
letters,145,364521542316125643236154413265651432
prods,145,15_48_40___18___60_3___48___6_20___3____40___36_____5__12__
size,146,6
shape,146,acabcddddacfffedddacefffddfacdffabcf
letters,146,213465642531164253531642356124425316
prods,146,2__72___5_6_24_48_15______12_20_6_15______12_10__2__24___15___
size,147,6
shape,147,abbbcddacacefddddfdefffdefabcefacacf
letters,147,412653543162631425356214264531125346
prods,147,240_____30_30_12__6____90_6_8_2__6_____24___60_____10__12__
size,148,6
shape,148,ddacddffddefaceffdddfacfefacddfabcff
letters,148,415632564213341526236145152364623451
prods,148,20_6_30__6_6___24_10___12_____30_12_15__4_____6__30_4__24____
size,149,6
shape,149,dddacdfffddedddffffefacddfabcefacacf
letters,149,162354435162314625651243243516526431
prods,149,4_18_10_15__40____6_12__18_20_4_______8__18_10__15_____12__12__
size,150,6
shape,150,dacdddfddfffdefacdefacdffabcedacacff
letters,150,213546356124634215421653562431145362
prods,150,6_3__5_8_24__30_24____120___2__15___6__90___48____2_4__15___
size,151,6
shape,151,abbcddddddfeffefdeacedefddeffdfffacf
letters,151,512643364512136254625431241365453126
prods,151,60____4_24_3_18_360_10_______90__12___12___8_20____30____2__
size,152,6
shape,152,abbcdddabceffdddfddeffdfefacfdfacacf
letters,152,642531563124154362435216216453321645
prods,152,240____36_4_5_18______15_20_6__12_24____5____24___15__2__24__
size,153,6
shape,153,dabbcdedabcfffddddddffefefacfdfabbcf
letters,153,314526623145256314142653465231531462
prods,153,36_40____30__10_12______12_18_15_12_20_24_______10___2__72____
size,154,6
shape,154,acacddddddeffefefddfdedfedeffdfffacf
letters,154,534612612435465321156243321564243156
prods,154,15__24__6_10_24_30_10_120________3_6__18__24___8____24____5__
size,155,6
